theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-40595.0,-15700.0,-40513.0,0.0,-40595.0,-15700.0,-40513.0,-600.932,70.112,-769.74,-37.435,44.54
-40398.0,-15728.0,-40734.0,0.0,-40398.0,-15728.0,-40734.0,-597.343,72.266,-768.25,-37.44,45.35
-40196.0,-15759.0,-40952.0,0.0,-40196.0,-15759.0,-40952.0,-594.044,76.426,-766.13,-37.416,46.44
-39988.0,-15788.0,-41172.0,0.0,-39988.0,-15788.0,-41172.0,-591.692,77.396,-769.02,-37.109,47.79
-39773.0,-15814.0,-41396.0,0.0,-39773.0,-15814.0,-41396.0,-589.268,77.493,-769.33,-36.839,49.29
-39551.0,-15836.0,-41624.0,0.0,-39551.0,-15836.0,-41624.0,-587.366,80.468,-768.7,-36.466,50.81
-39322.0,-15852.0,-41859.0,1692.0,-39322.0,-15852.0,-41859.0,-583.478,80.59,-771.32,-36.225,52.8
-39084.0,-15864.0,-42102.0,1692.0,-39084.0,-15864.0,-42102.0,-582.587,80.606,-773.55,-36.04,54.73
-38837.0,-15868.0,-42356.0,1692.0,-38837.0,-15868.0,-42356.0,-582.598,81.745,-775.37,-35.699,56.99
-38583.0,-15863.0,-42621.0,1692.0,-38583.0,-15863.0,-42621.0,-582.114,80.707,-777.28,-35.332,59.12
-38323.0,-15848.0,-42897.0,1692.0,-38323.0,-15848.0,-42897.0,-586.842,77.919,-779.16,-34.555,60.88
-38059.0,-15820.0,-43186.0,1692.0,-38059.0,-15820.0,-43186.0,-593.772,76.073,-778.76,-33.32,62.58
-37792.0,-15779.0,-43486.0,1692.0,-37792.0,-15779.0,-43486.0,-599.427,74.776,-778.3,-31.862,63.9
-37524.0,-15725.0,-43796.0,1692.0,-37524.0,-15725.0,-43796.0,-606.9,73.438,-780.85,-30.414,64.94
-37256.0,-15659.0,-44115.0,1727.0,-37256.0,-15659.0,-44115.0,-616.277,72.357,-783.13,-28.933,65.66
-36990.0,-15584.0,-44443.0,1727.0,-36990.0,-15584.0,-44443.0,-626.861,69.223,-784.93,-27.858,66.02
-36727.0,-15501.0,-44777.0,1727.0,-36727.0,-15501.0,-44777.0,-636.378,68.664,-786.98,-26.813,66.03
-36467.0,-15412.0,-45116.0,1727.0,-36467.0,-15412.0,-45116.0,-644.863,73.353,-789.11,-25.877,65.89
-36212.0,-15318.0,-45459.0,1727.0,-36212.0,-15318.0,-45459.0,-652.931,74.635,-793.59,-25.286,65.45
-35962.0,-15223.0,-45805.0,1727.0,-35962.0,-15223.0,-45805.0,-658.138,74.915,-797.97,-25.034,64.95
-35717.0,-15130.0,-46152.0,1727.0,-35717.0,-15130.0,-46152.0,-663.107,80.337,-801.95,-25.101,64.08
-35476.0,-15041.0,-46499.0,1727.0,-35476.0,-15041.0,-46499.0,-666.135,84.785,-806.17,-25.631,63.33
-35242.0,-14955.0,-46846.0,1237.0,-35242.0,-14955.0,-46846.0,-669.034,87.665,-810.3,-26.0,62.31
-35013.0,-14874.0,-47192.0,1237.0,-35013.0,-14874.0,-47192.0,-672.633,92.632,-816.94,-26.452,61.31
-34789.0,-14799.0,-47536.0,1237.0,-34789.0,-14799.0,-47536.0,-673.932,99.354,-821.12,-27.101,60.38
-34570.0,-14730.0,-47879.0,1237.0,-34570.0,-14730.0,-47879.0,-673.355,102.871,-824.73,-27.83,59.23
-34355.0,-14669.0,-48220.0,1237.0,-34355.0,-14669.0,-48220.0,-671.297,103.551,-829.03,-28.926,58.49
-34146.0,-14615.0,-48559.0,1237.0,-34146.0,-14615.0,-48559.0,-672.392,105.208,-830.72,-29.976,57.44
-33940.0,-14568.0,-48897.0,1237.0,-33940.0,-14568.0,-48897.0,-671.685,104.884,-834.85,-30.858,56.74
-33737.0,-14526.0,-49235.0,1237.0,-33737.0,-14526.0,-49235.0,-668.271,102.419,-836.93,-31.905,56.21
-33537.0,-14489.0,-49573.0,1204.0,-33537.0,-14489.0,-49573.0,-666.099,100.994,-835.93,-32.627,55.78
-33335.0,-14456.0,-49911.0,1204.0,-33335.0,-14456.0,-49911.0,-661.985,97.782,-835.76,-33.606,56.05
-33132.0,-14427.0,-50251.0,1204.0,-33132.0,-14427.0,-50251.0,-660.47,92.53,-833.37,-34.334,56.46
-32929.0,-14401.0,-50594.0,1204.0,-32929.0,-14401.0,-50594.0,-659.713,88.178,-830.94,-34.966,56.99
-32721.0,-14377.0,-50940.0,1204.0,-32721.0,-14377.0,-50940.0,-656.072,84.33,-828.99,-35.78,57.81
-32514.0,-14354.0,-51290.0,1204.0,-32514.0,-14354.0,-51290.0,-655.618,78.326,-824.4,-36.24,58.25
-32306.0,-14332.0,-51644.0,1204.0,-32306.0,-14332.0,-51644.0,-658.187,72.587,-820.0,-36.796,58.85
-32097.0,-14308.0,-52003.0,1204.0,-32097.0,-14308.0,-52003.0,-660.094,67.374,-818.46,-36.894,59.44
-31887.0,-14281.0,-52366.0,1199.0,-31887.0,-14281.0,-52366.0,-661.712,61.956,-819.02,-36.701,59.98
-31676.0,-14250.0,-52735.0,1199.0,-31676.0,-14250.0,-52735.0,-663.253,56.579,-821.45,-36.392,60.58
-31464.0,-14212.0,-53111.0,1199.0,-31464.0,-14212.0,-53111.0,-664.524,48.957,-823.4,-35.652,61.17
-31251.0,-14169.0,-53491.0,1199.0,-31251.0,-14169.0,-53491.0,-667.794,41.582,-825.07,-35.006,61.72
-31037.0,-14119.0,-53877.0,1199.0,-31037.0,-14119.0,-53877.0,-672.955,37.305,-827.02,-34.208,62.3
-30822.0,-14065.0,-54267.0,1199.0,-30822.0,-14065.0,-54267.0,-674.893,37.697,-826.55,-33.386,63.02
-30604.0,-14006.0,-54661.0,1199.0,-30604.0,-14006.0,-54661.0,-673.865,37.615,-828.49,-32.752,63.68
-30382.0,-13943.0,-55059.0,1199.0,-30382.0,-13943.0,-55059.0,-675.805,36.769,-830.96,-32.008,64.7
-30158.0,-13878.0,-55460.0,1191.0,-30158.0,-13878.0,-55460.0,-677.934,38.681,-832.72,-31.683,65.53
-29464.0,-13699.0,-56664.0,1191.0,-29464.0,-13699.0,-56664.0,-681.207,55.216,-830.14,-32.316,67.98
-29226.0,-13653.0,-57062.0,1191.0,-29226.0,-13653.0,-57062.0,-681.107,63.626,-830.76,-33.214,68.64
-28986.0,-13616.0,-57459.0,1191.0,-28986.0,-13616.0,-57459.0,-684.016,68.823,-830.66,-34.455,69.27
-28743.0,-13590.0,-57851.0,1191.0,-28743.0,-13590.0,-57851.0,-686.613,73.113,-830.84,-35.908,69.9
-28496.0,-13576.0,-58240.0,1191.0,-28496.0,-13576.0,-58240.0,-683.988,77.635,-828.43,-37.363,70.63
-28244.0,-13572.0,-58625.0,1188.0,-28244.0,-13572.0,-58625.0,-681.575,79.183,-823.68,-38.834,71.45
-27989.0,-13579.0,-59005.0,1188.0,-27989.0,-13579.0,-59005.0,-679.951,78.134,-821.84,-40.183,72.19
-27730.0,-13594.0,-59383.0,1188.0,-27730.0,-13594.0,-59383.0,-677.763,75.197,-820.2,-41.361,73.16
-27465.0,-13616.0,-59757.0,1188.0,-27465.0,-13616.0,-59757.0,-675.752,70.542,-815.43,-42.098,74.14
-27196.0,-13641.0,-60128.0,1188.0,-27196.0,-13641.0,-60128.0,-673.761,61.975,-810.87,-42.536,75.26
