theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-307.0,-20.0,4403.0,226.0,0.0,0.0,0.0,44.314,-19.245,-993.04,0.247,-0.2
-307.0,-20.0,4403.0,226.0,0.0,0.0,0.0,44.317,-19.147,-993.09,0.193,-0.26
-307.0,-21.0,4404.0,224.0,0.0,0.0,0.0,44.253,-19.02,-990.69,0.181,-0.18
-306.0,-20.0,4405.0,224.0,0.0,0.0,0.0,46.595,-16.563,-988.37,0.303,-0.03
-305.0,-20.0,4406.0,224.0,0.0,0.0,0.0,48.964,-16.681,-988.9,0.284,-0.12
-305.0,-20.0,4406.0,224.0,0.0,0.0,0.0,46.009,-19.61,-989.21,0.241,-0.2
-305.0,-20.0,4407.0,224.0,0.0,0.0,0.0,43.358,-19.378,-989.1,0.245,-0.22
-306.0,-21.0,4407.0,224.0,0.0,0.0,0.0,44.166,-16.731,-991.57,0.103,-0.29
-305.0,-21.0,4409.0,224.0,0.0,0.0,0.0,44.477,-14.788,-993.93,0.302,-0.16
-305.0,-22.0,4409.0,224.0,0.0,0.0,0.0,44.279,-15.328,-993.35,0.197,-0.02
-304.0,-22.0,4410.0,226.0,0.0,0.0,0.0,44.298,-15.669,-993.03,0.337,-0.13
-304.0,-21.0,4411.0,226.0,0.0,0.0,0.0,42.021,-15.546,-995.64,0.4,-0.05
-304.0,-21.0,4412.0,226.0,0.0,0.0,0.0,39.781,-15.647,-997.97,0.305,-0.13
-306.0,-22.0,4413.0,226.0,0.0,0.0,0.0,40.3,-15.573,-997.38,0.272,-0.28
-307.0,-22.0,4413.0,226.0,0.0,0.0,0.0,38.192,-15.484,-997.1,0.244,-0.18
-308.0,-23.0,4414.0,226.0,0.0,0.0,0.0,35.695,-15.393,-997.33,0.159,-0.25
-310.0,-23.0,4414.0,226.0,0.0,0.0,0.0,36.335,-15.364,-997.27,0.294,-0.19
-311.0,-22.0,4415.0,226.0,0.0,0.0,0.0,36.677,-15.376,-997.27,0.432,-0.17
-312.0,-22.0,4416.0,225.0,0.0,0.0,0.0,36.647,-17.841,-999.6,0.329,-0.22
-313.0,-21.0,4417.0,225.0,0.0,0.0,0.0,36.709,-20.176,-999.51,0.41,-0.21
-315.0,-21.0,4418.0,225.0,0.0,0.0,0.0,36.635,-19.512,-996.6,0.182,-0.2
-316.0,-21.0,4419.0,225.0,0.0,0.0,0.0,36.672,-19.216,-996.88,0.221,-0.2
-318.0,-21.0,4420.0,225.0,0.0,0.0,0.0,36.737,-19.474,-999.75,0.068,-0.34
-320.0,-21.0,4421.0,225.0,0.0,0.0,0.0,36.711,-19.425,-999.48,0.19,-0.29
-322.0,-21.0,4422.0,225.0,0.0,0.0,0.0,36.602,-19.367,-996.61,0.262,-0.36
-323.0,-21.0,4422.0,225.0,0.0,0.0,0.0,36.603,-19.421,-996.86,0.262,-0.14
-323.0,-19.0,4423.0,225.0,0.0,0.0,0.0,39.008,-19.537,-997.33,0.476,-0.04
-322.0,-19.0,4424.0,225.0,0.0,0.0,0.0,41.332,-19.576,-997.05,0.311,-0.06
-322.0,-18.0,4425.0,225.0,0.0,0.0,0.0,40.73,-19.546,-997.12,0.375,-0.08
-323.0,-17.0,4426.0,225.0,0.0,0.0,0.0,40.366,-19.474,-997.1,0.346,-0.16
-323.0,-16.0,4427.0,225.0,0.0,0.0,0.0,40.435,-21.723,-997.08,0.326,-0.13
-323.0,-15.0,4427.0,225.0,0.0,0.0,0.0,40.296,-23.924,-997.02,0.363,-0.08
-324.0,-13.0,4428.0,225.0,0.0,0.0,0.0,37.965,-23.351,-999.46,0.363,-0.1
-324.0,-12.0,4428.0,225.0,0.0,0.0,0.0,38.072,-23.114,-1001.81,0.343,-0.11
-324.0,-11.0,4429.0,225.0,0.0,0.0,0.0,40.997,-23.3,-1001.16,0.207,-0.11
-325.0,-10.0,4430.0,225.0,0.0,0.0,0.0,40.67,-23.196,-998.47,0.257,-0.25
