theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-829.0,989.0,120667.0,223.0,-829.0,989.0,120667.0,8.337,-26.574,-977.76,-0.059,-0.07
-829.0,989.0,120668.0,223.0,-829.0,989.0,120668.0,6.208,-26.109,-980.22,0.12,0.14
-829.0,989.0,120668.0,223.0,-829.0,989.0,120668.0,3.829,-26.448,-982.58,0.212,0.04
-829.0,990.0,120668.0,223.0,-829.0,990.0,120668.0,4.398,-26.386,-981.98,0.334,0.16
-828.0,991.0,120668.0,223.0,-828.0,991.0,120668.0,4.708,-26.541,-984.06,0.372,0.23
-829.0,992.0,120669.0,223.0,-829.0,992.0,120669.0,4.614,-26.604,-986.57,0.31,-0.0
-828.0,992.0,120669.0,223.0,-828.0,992.0,120669.0,4.618,-26.534,-985.94,0.071,0.15
-829.0,992.0,120670.0,223.0,-829.0,992.0,120670.0,4.567,-26.432,-985.64,0.182,0.02
-829.0,991.0,120670.0,223.0,-829.0,991.0,120670.0,4.507,-26.247,-983.4,0.003,0.08
-828.0,991.0,120671.0,223.0,-828.0,991.0,120671.0,4.427,-26.115,-981.04,0.121,0.13
-828.0,991.0,120671.0,223.0,-828.0,991.0,120671.0,4.481,-26.15,-981.63,0.205,0.22
-828.0,991.0,120672.0,223.0,-828.0,991.0,120672.0,4.533,-26.224,-981.92,0.189,0.02
-828.0,993.0,120672.0,223.0,-828.0,993.0,120672.0,6.844,-26.237,-979.33,0.407,0.01
-828.0,992.0,120673.0,223.0,-828.0,992.0,120673.0,9.099,-26.236,-976.99,0.107,0.05
-828.0,993.0,120673.0,223.0,-828.0,993.0,120673.0,6.164,-26.242,-977.62,0.213,-0.11
-828.0,993.0,120674.0,223.0,-828.0,993.0,120674.0,3.564,-26.197,-978.0,0.12,0.26
-827.0,992.0,120674.0,223.0,-827.0,992.0,120674.0,4.354,-23.801,-977.85,0.186,0.16
-827.0,993.0,120674.0,223.0,-827.0,993.0,120674.0,4.653,-21.471,-977.94,0.372,0.06
-827.0,993.0,120674.0,223.0,-827.0,993.0,120674.0,4.566,-22.113,-980.31,0.281,0.16
-828.0,993.0,120674.0,223.0,-828.0,993.0,120674.0,4.632,-22.489,-982.66,0.33,-0.17
-829.0,992.0,120675.0,223.0,-829.0,992.0,120675.0,4.569,-22.283,-982.06,0.119,-0.0
-829.0,992.0,120676.0,223.0,-829.0,992.0,120676.0,4.544,-22.291,-981.75,0.158,0.13
-828.0,991.0,120676.0,223.0,-828.0,991.0,120676.0,4.539,-22.272,-981.92,0.141,0.23
-826.0,991.0,120677.0,223.0,-826.0,991.0,120677.0,4.575,-22.302,-981.88,0.222,0.39
-826.0,991.0,120677.0,223.0,-826.0,991.0,120677.0,4.594,-22.334,-981.89,0.356,0.16
-826.0,991.0,120678.0,223.0,-826.0,991.0,120678.0,4.56,-22.395,-981.87,0.27,0.03
-827.0,991.0,120678.0,223.0,-827.0,991.0,120678.0,4.494,-22.443,-981.88,0.335,0.0
-827.0,991.0,120679.0,223.0,-827.0,991.0,120679.0,6.802,-22.468,-981.84,0.262,-0.09
