theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-1402.0,-85387.0,116388.0,409.0,-1402.0,-85387.0,116388.0,0.041,1020.603,-75.79,0.244,-0.57
-1401.0,-85386.0,116391.0,409.0,-1401.0,-85386.0,116391.0,-0.426,1020.666,-75.79,0.334,-0.57
-1400.0,-85385.0,116394.0,409.0,-1400.0,-85385.0,116394.0,-2.656,1020.719,-75.83,0.496,-0.55
-1400.0,-85384.0,116397.0,409.0,-1400.0,-85384.0,116397.0,-5.094,1020.819,-75.88,0.428,-0.56
-1399.0,-85384.0,116400.0,409.0,-1399.0,-85384.0,116400.0,-4.492,1020.812,-78.26,0.256,-0.56
-1399.0,-85384.0,116403.0,409.0,-1399.0,-85384.0,116403.0,-4.227,1020.823,-80.59,0.114,-0.56
-1398.0,-85384.0,116405.0,409.0,-1398.0,-85384.0,116405.0,-4.458,1020.931,-80.0,0.131,-0.56
-1398.0,-85383.0,116408.0,409.0,-1398.0,-85383.0,116408.0,-4.479,1018.614,-79.65,0.322,-0.56
-1398.0,-85382.0,116411.0,409.0,-1398.0,-85382.0,116411.0,-4.521,1016.249,-79.77,0.353,-0.56
-1398.0,-85381.0,116414.0,409.0,-1398.0,-85381.0,116414.0,-4.56,1019.139,-77.39,0.37,-0.56
-1397.0,-85382.0,116417.0,409.0,-1397.0,-85382.0,116417.0,-4.624,1021.69,-75.12,0.105,-0.56
-1398.0,-85383.0,116420.0,409.0,-1398.0,-85383.0,116420.0,-4.586,1020.836,-75.68,0.017,-0.56
-1398.0,-85384.0,116423.0,409.0,-1398.0,-85384.0,116423.0,-4.552,1020.517,-75.99,0.054,-0.56
-1399.0,-85385.0,116426.0,409.0,-1399.0,-85385.0,116426.0,-4.543,1020.643,-75.82,0.072,-0.56
-1400.0,-85386.0,116428.0,409.0,-1400.0,-85386.0,116428.0,-4.528,1020.568,-75.86,0.155,-0.56
-1400.0,-85386.0,116431.0,409.0,-1400.0,-85386.0,116431.0,-4.523,1020.512,-75.86,0.115,-0.56
-1401.0,-85387.0,116434.0,409.0,-1401.0,-85387.0,116434.0,-4.523,1020.461,-75.87,0.069,-0.56
-1402.0,-85388.0,116437.0,409.0,-1402.0,-85388.0,116437.0,-4.527,1020.479,-75.86,0.09,-0.56
-1401.0,-85389.0,116439.0,409.0,-1401.0,-85389.0,116439.0,-2.158,1020.484,-75.82,0.101,-0.42
-1401.0,-85389.0,116441.0,409.0,-1401.0,-85389.0,116441.0,0.155,1020.514,-75.78,0.244,-0.47
-1401.0,-85389.0,116443.0,409.0,-1401.0,-85389.0,116443.0,-2.82,1020.608,-75.83,0.342,-0.41
-1400.0,-85387.0,116446.0,409.0,-1400.0,-85387.0,116446.0,-5.473,1020.701,-75.88,0.493,-0.49
-1400.0,-85386.0,116449.0,409.0,-1400.0,-85386.0,116449.0,-4.692,1018.346,-78.21,0.422,-0.63
-1400.0,-85385.0,116452.0,409.0,-1400.0,-85385.0,116452.0,-4.388,1018.419,-80.54,0.402,-0.55
-1399.0,-85385.0,116455.0,409.0,-1399.0,-85385.0,116455.0,-2.281,1019.151,-77.53,0.209,-0.61
-1398.0,-85384.0,116458.0,409.0,-1398.0,-85384.0,116458.0,0.081,1019.016,-77.23,0.288,-0.54
