3183.0,-2093.0,-2390.0,901.0,3183.0,-2093.0,-2390.0,-123.646,34.554,-1039.21,-18.693,0.02
3166.0,-2163.0,-1908.0,901.0,3166.0,-2163.0,-1908.0,-127.351,30.244,-1041.5,-19.254,-0.3
3149.0,-2233.0,-1423.0,901.0,3149.0,-2233.0,-1423.0,-132.278,26.557,-1040.94,-19.313,-0.27
3134.0,-2302.0,-935.0,901.0,3134.0,-2302.0,-935.0,-136.95,22.765,-1040.64,-19.133,0.05
3121.0,-2367.0,-445.0,901.0,3121.0,-2367.0,-445.0,-138.578,16.749,-1040.75,-18.848,0.6
3113.0,-2429.0,48.0,901.0,3113.0,-2429.0,48.0,-138.461,8.597,-1040.54,-18.385,1.25
3107.0,-2488.0,543.0,904.0,3107.0,-2488.0,543.0,-139.445,3.753,-1038.07,-17.927,1.58
3101.0,-2543.0,1040.0,904.0,3101.0,-2543.0,1040.0,-143.829,-0.561,-1035.69,-17.45,1.63
3096.0,-2595.0,1540.0,904.0,3096.0,-2595.0,1540.0,-146.119,-5.542,-1038.59,-17.066,1.74
3091.0,-2645.0,2040.0,904.0,3091.0,-2645.0,2040.0,-146.07,-10.112,-1041.1,-16.763,1.57
3086.0,-2692.0,2543.0,904.0,3086.0,-2692.0,2543.0,-147.158,-14.609,-1040.22,-16.416,1.54
3079.0,-2739.0,3047.0,904.0,3079.0,-2739.0,3047.0,-148.254,-16.964,-1042.29,-16.503,1.24
3070.0,-2783.0,3551.0,904.0,3070.0,-2783.0,3551.0,-148.851,-19.666,-1044.72,-16.121,0.58
3058.0,-2827.0,4057.0,904.0,3058.0,-2827.0,4057.0,-149.107,-23.143,-1044.03,-16.113,0.12
3044.0,-2870.0,4564.0,908.0,3044.0,-2870.0,4564.0,-151.154,-26.822,-1046.09,-15.975,-0.49
3028.0,-2909.0,5071.0,908.0,3028.0,-2909.0,5071.0,-155.081,-30.927,-1048.6,-15.506,-0.76
3013.0,-2946.0,5580.0,908.0,3013.0,-2946.0,5580.0,-155.724,-35.244,-1050.34,-15.198,-0.64
3000.0,-2977.0,6088.0,908.0,3000.0,-2977.0,6088.0,-155.987,-42.066,-1052.28,-14.092,-0.32
