theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-105.0,138.0,27792.0,456.0,-2.288,-3.519,0.0,144.857,-99.05,-989.14,-2.056,3.87
-84.0,135.0,27795.0,456.0,-21.008,-1.423,0.0,117.751,-39.636,-1040.89,-0.748,1.83
-91.0,99.0,27792.0,456.0,2.635,-19.994,0.0,-46.462,43.802,-962.23,-4.738,1.75
-71.0,103.0,27792.0,456.0,7.782,-16.138,0.0,17.367,-38.293,-933.74,0.774,4.76
-49.0,123.0,27792.0,456.0,-21.713,7.141,0.0,145.583,-112.637,-1024.05,1.421,1.08
-20.0,112.0,27792.0,456.0,-25.623,2.169,0.0,55.374,-9.114,-1020.33,-1.338,5.66
-47.0,98.0,27792.0,456.0,-4.374,-14.036,0.0,-45.736,39.497,-942.8,-0.328,-2.42
-10.0,121.0,27793.0,456.0,-8.458,3.103,0.0,51.135,-86.798,-981.76,2.874,7.05
-1.0,138.0,27794.0,456.0,-29.457,21.601,0.0,122.403,-101.249,-1048.82,1.152,-0.67
4.0,117.0,27794.0,456.0,-23.912,2.477,0.0,24.123,43.102,-984.45,-1.566,2.09
-18.0,93.0,27796.0,456.0,-5.808,-10.336,0.0,-30.081,27.252,-951.2,-2.892,-2.12
0.0,99.0,27797.0,456.0,-10.807,15.147,0.0,67.845,-120.156,-1021.21,-1.618,2.76
18.0,95.0,27797.0,456.0,-27.679,25.853,0.0,118.953,-72.99,-1029.57,-2.045,1.58
9.0,69.0,27799.0,456.0,-19.897,1.503,0.0,26.476,64.942,-969.48,-1.999,-1.27
0.0,85.0,27798.0,454.0,-0.922,-8.663,0.0,-24.197,0.915,-976.0,4.354,0.5
3.0,112.0,27797.0,454.0,-7.505,12.849,0.0,70.998,-123.47,-1025.88,2.565,-0.17
28.0,112.0,27800.0,454.0,-25.345,11.074,0.0,120.358,-39.426,-1004.03,-0.178,2.64
7.0,79.0,27798.0,454.0,-14.822,-15.542,0.0,13.179,63.106,-975.59,-3.54,-3.11
-3.0,88.0,27801.0,454.0,6.753,-13.154,0.0,-40.393,-40.196,-997.16,1.732,0.59
3.0,104.0,27799.0,454.0,-3.321,8.404,0.0,87.056,-118.538,-1015.01,0.432,0.19
20.0,100.0,27803.0,454.0,-23.135,-0.217,0.0,127.46,2.402,-992.22,0.447,0.63
-11.0,86.0,27801.0,454.0,-3.862,-20.725,0.0,-21.444,48.55,-988.64,-0.237,-4.09
-3.0,106.0,27804.0,455.0,16.821,-6.831,0.0,-36.903,-81.549,-994.82,2.406,4.33
-4.0,125.0,27804.0,455.0,-6.947,7.398,0.0,134.844,-90.159,-999.94,2.094,-3.09
22.0,108.0,27803.0,455.0,-21.341,-12.72,0.0,108.283,43.023,-1002.26,-0.943,3.26
-6.0,96.0,27806.0,455.0,12.314,-28.289,0.0,-72.855,23.129,-991.28,-0.609,-1.78
12.0,121.0,27802.0,455.0,20.395,-10.366,0.0,15.039,-105.867,-981.17,2.647,4.72
35.0,140.0,27802.0,455.0,-15.359,-4.018,0.0,190.527,-67.853,-998.06,2.707,-0.01
26.0,125.0,27800.0,455.0,-14.633,-23.451,0.0,56.995,44.584,-1009.92,-0.354,-2.13
3.0,140.0,27799.0,455.0,22.491,-27.622,0.0,-92.374,-7.666,-978.8,3.866,-0.21
-3.0,174.0,27799.0,457.0,13.694,-7.015,0.0,77.19,-106.858,-976.62,4.457,-2.25
50.0,175.0,27801.0,457.0,-21.613,-6.2,0.0,178.284,-44.145,-1018.7,-0.097,6.43
24.0,159.0,27800.0,457.0,-3.309,-26.486,0.0,-23.606,41.777,-1005.54,-0.69,-2.83
23.0,180.0,27801.0,457.0,23.839,-27.602,0.0,-69.041,-26.075,-955.3,4.509,3.5
48.0,204.0,27798.0,457.0,-7.915,-5.696,0.0,148.128,-99.73,-1000.01,2.612,1.66
63.0,217.0,27799.0,457.0,-33.125,-6.139,0.0,137.097,-19.522,-1039.71,3.279,0.06
35.0,207.0,27795.0,457.0,-6.664,-22.254,0.0,-61.908,44.907,-970.87,0.523,-2.01
29.0,233.0,27798.0,457.0,2.827,-13.082,0.0,-5.693,-50.065,-940.89,4.732,0.38
59.0,259.0,27797.0,455.0,-26.945,7.97,0.0,155.903,-102.955,-1024.26,2.984,2.48
61.0,262.0,27799.0,455.0,-28.545,-1.578,0.0,55.383,11.411,-1017.35,2.112,0.2
29.0,259.0,27799.0,455.0,0.718,-16.196,0.0,-70.162,37.176,-928.93,1.81,-2.52
55.0,282.0,27798.0,455.0,-2.475,0.951,0.0,56.255,-87.9,-975.45,3.051,4.76
61.0,311.0,27799.0,455.0,-29.792,15.304,0.0,156.662,-85.255,-1056.43,4.168,-2.21
67.0,296.0,27797.0,455.0,-23.765,-3.711,0.0,33.774,43.809,-986.89,-0.434,1.58
45.0,285.0,27799.0,455.0,-0.011,-15.504,0.0,-44.011,18.285,-935.59,-0.38,-1.48
56.0,303.0,27795.0,455.0,-8.471,5.079,0.0,76.018,-108.012,-1016.87,1.272,1.2
79.0,314.0,27795.0,456.0,-27.521,11.76,0.0,123.563,-61.812,-1038.02,1.482,2.15
70.0,303.0,27793.0,456.0,-12.26,-12.662,0.0,0.169,49.467,-954.92,0.513,-0.22
70.0,327.0,27791.0,456.0,5.921,-18.967,0.0,-19.401,-11.888,-962.79,5.671,2.21
